,mass_A,,
t,y,vy,v
7.60E+00,4.50E-01,非數值,非數值
7.63E+00,4.38E-01,-6.23E-01,6.31E-01
7.67E+00,4.08E-01,-1.01E+00,1.02E+00
7.70E+00,3.70E-01,-1.55E+00,1.55E+00
7.73E+00,3.06E-01,-1.84E+00,1.84E+00
7.77E+00,2.47E-01,-2.22E+00,2.22E+00
7.80E+00,1.57E-01,-2.77E+00,2.78E+00
7.83E+00,6.38E-02,-3.11E+00,3.11E+00
7.87E+00,-5.10E-02,-3.36E+00,3.36E+00
7.90E+00,-1.62E-01,-4.06E+00,4.06E+00
7.93E+00,-3.19E-01,-4.82E+00,4.82E+00
7.97E+00,-4.85E-01,-4.69E+00,4.69E+00
8.00E+00,-6.33E-01,-5.15E+00,5.15E+00
8.03E+00,-8.25E-01,-5.77E+00,5.77E+00
8.07E+00,-1.02E+00,-6.47E+00,6.47E+00
8.10E+00,-1.26E+00,-4.89E+00,4.89E+00
8.13E+00,-1.34E+00,1.59E+00,1.59E+00
8.17E+00,-1.15E+00,5.27E+00,5.27E+00
8.20E+00,-9.90E-01,5.02E+00,5.02E+00
8.23E+00,-8.20E-01,4.44E+00,4.44E+00
8.27E+00,-6.93E-01,3.68E+00,3.68E+00
8.30E+00,-5.74E-01,3.09E+00,3.09E+00
8.33E+00,-4.89E-01,2.73E+00,2.73E+00
8.37E+00,-3.91E-01,2.47E+00,2.47E+00
8.40E+00,-3.23E-01,2.00E+00,2.00E+00
8.43E+00,-2.59E-01,1.65E+00,1.65E+00
8.47E+00,-2.13E-01,1.27E+00,1.27E+00
8.50E+00,-1.74E-01,8.37E-01,8.47E-01
8.53E+00,-1.57E-01,1.90E-01,2.01E-01
8.57E+00,-1.62E-01,-3.17E-01,3.23E-01
8.60E+00,-1.79E-01,-7.73E-01,7.73E-01
8.63E+00,-2.13E-01,-1.21E+00,1.21E+00
8.67E+00,-2.59E-01,-1.46E+00,1.46E+00
8.70E+00,-3.10E-01,-1.80E+00,1.81E+00
8.73E+00,-3.78E-01,-2.16E+00,2.16E+00
8.77E+00,-4.55E-01,-2.54E+00,2.54E+00
8.80E+00,-5.48E-01,-3.16E+00,3.17E+00
8.83E+00,-6.63E-01,-3.36E+00,3.36E+00
8.87E+00,-7.74E-01,-3.87E+00,3.87E+00
8.90E+00,-9.22E-01,-4.64E+00,4.64E+00
8.93E+00,-1.08E+00,-5.07E+00,5.08E+00
8.97E+00,-1.26E+00,-4.44E+00,4.44E+00
9.00E+00,-1.38E+00,8.37E-01,8.40E-01
9.03E+00,-1.21E+00,4.50E+00,4.50E+00
9.07E+00,-1.08E+00,3.68E+00,3.68E+00
9.10E+00,-9.61E-01,3.61E+00,3.61E+00
9.13E+00,-8.37E-01,3.11E+00,3.11E+00
9.17E+00,-7.52E-01,2.22E+00,2.22E+00
9.20E+00,-6.89E-01,1.87E+00,1.87E+00
9.23E+00,-6.29E-01,1.46E+00,1.46E+00
9.27E+00,-5.91E-01,1.08E+00,1.08E+00
9.30E+00,-5.57E-01,9.02E-01,9.11E-01
9.33E+00,-5.31E-01,5.07E-01,5.67E-01
9.37E+00,-5.23E-01,-3.17E-01,4.06E-01
9.40E+00,-5.53E-01,-9.66E-01,9.74E-01
9.43E+00,-5.87E-01,-1.14E+00,1.14E+00
9.47E+00,-6.29E-01,-1.46E+00,1.46E+00
9.50E+00,-6.84E-01,-1.67E+00,1.68E+00
9.53E+00,-7.40E-01,-2.16E+00,2.16E+00
9.57E+00,-8.29E-01,-2.92E+00,2.93E+00
9.60E+00,-9.35E-01,-3.22E+00,3.23E+00
9.63E+00,-1.04E+00,-3.55E+00,3.55E+00
9.67E+00,-1.17E+00,-4.25E+00,4.26E+00
9.70E+00,-1.33E+00,-2.64E+00,2.64E+00
9.73E+00,-1.35E+00,1.65E+00,1.65E+00
9.77E+00,-1.22E+00,3.55E+00,3.56E+00
