,mass_A,,
t,y,vy,v
6.00E-01,4.69E-01,非數值,非數值
6.33E-01,4.69E-01,-5.91E-01,6.23E-01
6.67E-01,4.29E-01,-9.85E-01,9.85E-01
7.00E-01,4.03E-01,-1.00E+00,1.01E+00
7.33E-01,3.63E-01,-1.48E+00,1.48E+00
7.67E-01,3.04E-01,-2.17E+00,2.17E+00
8.00E-01,2.18E-01,-2.60E+00,2.60E+00
8.33E-01,1.32E-01,-2.96E+00,2.96E+00
8.67E-01,1.98E-02,-3.55E+00,3.55E+00
9.00E-01,-1.06E-01,-3.80E+00,3.80E+00
9.33E-01,-2.31E-01,-4.43E+00,4.43E+00
9.67E-01,-4.03E-01,-5.03E+00,5.03E+00
1.00E+00,-5.68E-01,-5.10E+00,5.10E+00
1.03E+00,-7.39E-01,-5.42E+00,5.42E+00
1.07E+00,-9.31E-01,-6.31E+00,6.31E+00
1.10E+00,-1.16E+00,-7.60E+00,7.60E+00
1.13E+00,-1.43E+00,-1.87E+00,1.88E+00
1.17E+00,-1.29E+00,4.63E+00,4.64E+00
1.20E+00,-1.12E+00,4.60E+00,4.60E+00
1.23E+00,-9.84E-01,4.14E+00,4.14E+00
1.27E+00,-8.45E-01,3.84E+00,3.84E+00
1.30E+00,-7.26E-01,2.90E+00,2.90E+00
1.33E+00,-6.54E-01,2.46E+00,2.47E+00
1.37E+00,-5.61E-01,2.46E+00,2.47E+00
1.40E+00,-4.89E-01,1.60E+00,1.60E+00
1.43E+00,-4.56E-01,8.87E-01,9.71E-01
1.47E+00,-4.29E-01,8.87E-01,9.71E-01
1.50E+00,-3.96E-01,3.00E-01,3.61E-01
1.53E+00,-4.09E-01,0.00E+00,2.96E-01
1.57E+00,-3.96E-01,-4.93E-01,5.02E-01
1.60E+00,-4.42E-01,-1.10E+00,1.10E+00
1.63E+00,-4.69E-01,-1.18E+00,1.18E+00
1.67E+00,-5.22E-01,-1.77E+00,1.78E+00
1.70E+00,-5.88E-01,-2.10E+00,2.14E+00
1.73E+00,-6.60E-01,-2.46E+00,2.47E+00
1.77E+00,-7.53E-01,-3.25E+00,3.25E+00
1.80E+00,-8.78E-01,-3.80E+00,3.80E+00
1.83E+00,-1.00E+00,-4.34E+00,4.35E+00
1.87E+00,-1.17E+00,-4.93E+00,4.94E+00
1.90E+00,-1.33E+00,-4.80E+00,4.81E+00
1.93E+00,-1.49E+00,0.00E+00,3.94E-01
1.97E+00,-1.33E+00,3.94E+00,3.95E+00
2.00E+00,-1.22E+00,3.10E+00,3.11E+00
2.03E+00,-1.13E+00,2.86E+00,2.86E+00
2.07E+00,-1.03E+00,2.27E+00,2.29E+00
2.10E+00,-9.77E-01,2.00E+00,2.00E+00
2.13E+00,-8.98E-01,1.48E+00,1.48E+00
2.17E+00,-8.78E-01,7.88E-01,8.13E-01
2.20E+00,-8.45E-01,3.00E-01,5.83E-01
2.23E+00,-8.58E-01,-9.85E-01,9.90E-01
2.27E+00,-9.11E-01,-9.85E-01,9.90E-01
2.30E+00,-9.24E-01,-6.00E-01,6.33E-01
2.33E+00,-9.51E-01,-1.58E+00,1.60E+00
2.37E+00,-1.03E+00,-2.07E+00,2.09E+00
2.40E+00,-1.09E+00,-2.40E+00,2.41E+00
2.43E+00,-1.19E+00,-3.05E+00,3.07E+00
2.47E+00,-1.29E+00,-3.55E+00,3.55E+00
2.50E+00,-1.43E+00,-2.90E+00,2.91E+00
2.53E+00,-1.49E+00,7.88E-01,8.42E-01
2.57E+00,-1.37E+00,2.66E+00,2.67E+00
2.60E+00,-1.31E+00,2.30E+00,2.30E+00
2.63E+00,-1.22E+00,1.77E+00,1.77E+00
2.67E+00,-1.19E+00,1.68E+00,1.68E+00
2.70E+00,-1.11E+00,1.50E+00,1.50E+00
2.73E+00,-1.09E+00,2.96E-01,2.96E-01
2.77E+00,-1.09E+00,-6.90E-01,7.51E-01
2.80E+00,-1.14E+00,-1.00E+00,1.08E+00
2.83E+00,-1.16E+00,-8.87E-01,8.92E-01
2.87E+00,-1.20E+00,-1.77E+00,1.78E+00
2.90E+00,-1.27E+00,-2.50E+00,2.52E+00
2.93E+00,-1.36E+00,-2.56E+00,2.57E+00
2.97E+00,-1.45E+00,-1.97E+00,1.97E+00
3.00E+00,-1.49E+00,6.00E-01,6.33E-01
3.03E+00,-1.41E+00,2.17E+00,2.18E+00
3.07E+00,-1.35E+00,1.68E+00,1.68E+00
3.10E+00,-1.29E+00,1.00E+00,1.00E+00
3.13E+00,-1.28E+00,非數值,非數值
