,mass_A,,
t,y,vy,v
6.07E+00,-2.00E-01,非數值,非數值
6.17E+00,-2.31E-01,非數值,非數值
6.23E+00,-3.51E-01,非數值,非數值
6.27E+00,-4.23E-01,-2.50E+00,2.50E+00
6.30E+00,-5.19E-01,-3.26E+00,3.26E+00
6.33E+00,-6.38E-01,-3.81E+00,3.81E+00
6.37E+00,-7.74E-01,-4.41E+00,4.41E+00
6.40E+00,-9.34E-01,-4.84E+00,4.84E+00
6.43E+00,-1.09E+00,-4.76E+00,4.76E+00
6.47E+00,-1.25E+00,-5.00E+00,5.00E+00
6.50E+00,-1.43E+00,-5.80E+00,5.81E+00
6.53E+00,-1.64E+00,-6.79E+00,6.79E+00
6.57E+00,-1.88E+00,-4.76E+00,4.77E+00
6.60E+00,-1.96E+00,2.30E+00,2.31E+00
6.63E+00,-1.73E+00,6.19E+00,6.19E+00
6.67E+00,-1.54E+00,5.36E+00,5.36E+00
6.70E+00,-1.37E+00,4.72E+00,4.72E+00
6.73E+00,-1.23E+00,4.05E+00,4.05E+00
6.77E+00,-1.10E+00,3.45E+00,3.46E+00
6.80E+00,-9.98E-01,3.02E+00,3.03E+00
6.83E+00,-9.02E-01,2.86E+00,2.86E+00
6.87E+00,-8.06E-01,2.62E+00,2.62E+00
6.90E+00,-7.26E-01,1.93E+00,1.95E+00
6.93E+00,-6.78E-01,1.67E+00,1.67E+00
6.97E+00,-6.14E-01,1.31E+00,1.31E+00
7.00E+00,-5.91E-01,4.84E-01,4.99E-01
7.03E+00,-5.83E-01,1.19E-01,1.19E-01
7.07E+00,-5.83E-01,-3.57E-01,3.77E-01
7.10E+00,-6.06E-01,-9.67E-01,1.08E+00
7.13E+00,-6.46E-01,-1.19E+00,1.21E+00
7.17E+00,-6.86E-01,-1.55E+00,1.55E+00
7.20E+00,-7.50E-01,-1.93E+00,1.99E+00
7.23E+00,-8.14E-01,-2.50E+00,2.53E+00
7.27E+00,-9.18E-01,-3.10E+00,3.10E+00
7.30E+00,-1.02E+00,-3.26E+00,3.26E+00
7.33E+00,-1.13E+00,-3.57E+00,3.58E+00
7.37E+00,-1.26E+00,-4.76E+00,4.77E+00
7.40E+00,-1.45E+00,-5.32E+00,5.33E+00
7.43E+00,-1.61E+00,-5.36E+00,5.37E+00
7.47E+00,-1.81E+00,-6.19E+00,6.20E+00
7.50E+00,-2.03E+00,-1.81E+00,1.82E+00
7.53E+00,-1.93E+00,4.05E+00,4.05E+00
7.57E+00,-1.76E+00,5.00E+00,5.00E+00
7.60E+00,-1.60E+00,4.47E+00,4.48E+00
7.63E+00,-1.46E+00,3.93E+00,3.93E+00
7.67E+00,-1.33E+00,3.57E+00,3.58E+00
7.70E+00,-1.22E+00,2.66E+00,2.66E+00
7.73E+00,-1.16E+00,2.02E+00,2.03E+00
7.77E+00,-1.09E+00,1.91E+00,1.91E+00
7.80E+00,-1.03E+00,1.69E+00,1.69E+00
7.83E+00,-9.74E-01,1.31E+00,1.32E+00
7.87E+00,-9.42E-01,5.96E-01,6.07E-01
7.90E+00,-9.34E-01,0.00E+00,1.21E-01
7.93E+00,-9.42E-01,-4.76E-01,4.76E-01
7.97E+00,-9.66E-01,-1.19E+00,1.19E+00
8.00E+00,-1.02E+00,-1.45E+00,1.50E+00
8.03E+00,-1.06E+00,-1.55E+00,1.57E+00
8.07E+00,-1.13E+00,-2.02E+00,2.03E+00
8.10E+00,-1.20E+00,-2.78E+00,2.79E+00
8.13E+00,-1.31E+00,-3.34E+00,3.34E+00
8.17E+00,-1.42E+00,-3.93E+00,3.93E+00
8.20E+00,-1.57E+00,-4.47E+00,4.48E+00
8.23E+00,-1.72E+00,-4.76E+00,4.78E+00
8.27E+00,-1.89E+00,-5.48E+00,5.48E+00
8.30E+00,-2.08E+00,-1.93E+00,1.94E+00
8.33E+00,-2.02E+00,2.98E+00,2.98E+00
8.37E+00,-1.88E+00,4.29E+00,4.29E+00
8.40E+00,-1.73E+00,4.11E+00,4.11E+00
8.43E+00,-1.61E+00,3.81E+00,3.81E+00
8.47E+00,-1.48E+00,3.10E+00,3.10E+00
8.50E+00,-1.40E+00,2.30E+00,2.30E+00
8.53E+00,-1.32E+00,1.91E+00,1.91E+00
8.57E+00,-1.28E+00,1.55E+00,1.55E+00
8.60E+00,-1.22E+00,8.46E-01,8.55E-01
8.63E+00,-1.22E+00,2.38E-01,2.66E-01
8.67E+00,-1.21E+00,-3.57E-01,3.57E-01
8.70E+00,-1.24E+00,-8.46E-01,8.46E-01
8.73E+00,-1.26E+00,-8.34E-01,8.67E-01
8.77E+00,-1.30E+00,-1.67E+00,1.68E+00
8.80E+00,-1.37E+00,-2.42E+00,2.42E+00
8.83E+00,-1.46E+00,-2.98E+00,3.02E+00
8.87E+00,-1.57E+00,-3.22E+00,3.25E+00
8.90E+00,-1.68E+00,-3.63E+00,3.64E+00
8.93E+00,-1.81E+00,-4.65E+00,4.65E+00
8.97E+00,-1.99E+00,-5.00E+00,5.02E+00
9.00E+00,-2.15E+00,-1.93E+00,1.97E+00
9.03E+00,-2.11E+00,2.38E+00,2.39E+00
9.07E+00,-1.99E+00,3.93E+00,3.93E+00
9.10E+00,-1.85E+00,3.99E+00,3.99E+00
9.13E+00,-1.72E+00,3.22E+00,3.22E+00
9.17E+00,-1.64E+00,2.26E+00,2.28E+00
9.20E+00,-1.57E+00,非數值,非數值
