,mass_A,,
t,y,vy,v
4.50E+00,5.17E-01,非數值,非數值
4.53E+00,4.94E-01,-8.25E-01,8.34E-01
4.57E+00,4.62E-01,-9.43E-01,9.50E-01
4.60E+00,4.30E-01,-1.20E+00,1.20E+00
4.63E+00,3.83E-01,-1.65E+00,1.65E+00
4.67E+00,3.20E-01,-2.12E+00,2.13E+00
4.70E+00,2.41E-01,-2.63E+00,2.64E+00
4.73E+00,1.46E-01,-3.07E+00,3.07E+00
4.77E+00,3.55E-02,-3.42E+00,3.42E+00
4.80E+00,-8.29E-02,-4.07E+00,4.08E+00
4.83E+00,-2.33E-01,-4.60E+00,4.60E+00
4.87E+00,-3.91E-01,-4.83E+00,4.84E+00
4.90E+00,-5.57E-01,-5.15E+00,5.15E+00
4.93E+00,-7.31E-01,-5.54E+00,5.54E+00
4.97E+00,-9.28E-01,-6.37E+00,6.37E+00
5.00E+00,-1.16E+00,-7.54E+00,7.54E+00
5.03E+00,-1.43E+00,-2.36E+00,2.36E+00
5.07E+00,-1.32E+00,3.77E+00,3.77E+00
5.10E+00,-1.17E+00,4.07E+00,4.07E+00
5.13E+00,-1.05E+00,3.65E+00,3.66E+00
5.17E+00,-9.28E-01,3.18E+00,3.18E+00
5.20E+00,-8.33E-01,2.87E+00,2.87E+00
5.23E+00,-7.39E-01,2.59E+00,2.59E+00
5.27E+00,-6.60E-01,2.00E+00,2.00E+00
5.30E+00,-6.04E-01,1.08E+00,1.08E+00
5.33E+00,-5.88E-01,9.43E-01,9.50E-01
5.37E+00,-5.41E-01,5.89E-01,6.01E-01
5.40E+00,-5.49E-01,-5.98E-01,6.10E-01
5.43E+00,-5.81E-01,-1.18E+00,1.18E+00
5.47E+00,-6.28E-01,-1.30E+00,1.30E+00
5.50E+00,-6.67E-01,-1.44E+00,1.46E+00
5.53E+00,-7.23E-01,-1.65E+00,1.67E+00
5.57E+00,-7.78E-01,-2.12E+00,2.12E+00
5.60E+00,-8.65E-01,-2.99E+00,2.99E+00
5.63E+00,-9.76E-01,-3.42E+00,3.42E+00
5.67E+00,-1.09E+00,-3.65E+00,3.66E+00
5.70E+00,-1.22E+00,-4.55E+00,4.57E+00
5.73E+00,-1.39E+00,-4.95E+00,4.96E+00
5.77E+00,-1.55E+00,-8.25E-01,8.25E-01
5.80E+00,-1.45E+00,3.23E+00,3.24E+00
5.83E+00,-1.34E+00,3.07E+00,3.07E+00
5.87E+00,-1.24E+00,2.24E+00,2.24E+00
5.90E+00,-1.19E+00,1.44E+00,1.46E+00
5.93E+00,-1.15E+00,1.30E+00,1.34E+00
5.97E+00,-1.10E+00,8.25E-01,8.98E-01
6.00E+00,-1.09E+00,-3.59E-01,4.32E-01
6.03E+00,-1.13E+00,-8.25E-01,8.98E-01
6.07E+00,-1.15E+00,-9.43E-01,9.72E-01
6.10E+00,-1.19E+00,-1.80E+00,1.80E+00
6.13E+00,-1.27E+00,-2.71E+00,2.72E+00
6.17E+00,-1.37E+00,-2.12E+00,2.14E+00
6.20E+00,-1.41E+00,-2.15E+00,2.17E+00
6.23E+00,-1.51E+00,-2.83E+00,2.85E+00
6.27E+00,-1.60E+00,0.00E+00,2.36E-01
6.30E+00,-1.51E+00,2.15E+00,2.17E+00
6.33E+00,-1.46E+00,1.89E+00,1.90E+00
6.37E+00,-1.39E+00,1.30E+00,1.30E+00
6.40E+00,-1.37E+00,7.18E-01,7.28E-01
6.43E+00,-1.34E+00,0.00E+00,3.54E-01
6.47E+00,-1.37E+00,-1.18E+00,1.18E+00
6.50E+00,-1.42E+00,-1.56E+00,1.56E+00
6.53E+00,-1.47E+00,-1.18E+00,1.18E+00
6.57E+00,-1.50E+00,-1.89E+00,1.92E+00
6.60E+00,-1.60E+00,-2.87E+00,2.87E+00
6.63E+00,-1.69E+00,5.89E-01,6.35E-01
6.67E+00,-1.56E+00,2.95E+00,2.97E+00
6.70E+00,-1.49E+00,1.32E+00,1.40E+00
