,mass_A,,
t,y,vy,v
5.30E+00,4.67E-01,非數值,非數值
5.33E+00,4.67E-01,0.00E+00,9.67E-02
5.37E+00,4.67E-01,-2.90E-01,2.90E-01
5.40E+00,4.47E-01,-8.84E-01,8.84E-01
5.43E+00,4.08E-01,-1.06E+00,1.06E+00
5.47E+00,3.76E-01,-1.64E+00,1.64E+00
5.50E+00,2.98E-01,-2.16E+00,2.16E+00
5.53E+00,2.33E-01,-2.13E+00,2.13E+00
5.57E+00,1.56E-01,-2.61E+00,2.61E+00
5.60E+00,5.83E-02,-3.24E+00,3.25E+00
5.63E+00,-5.83E-02,-3.58E+00,3.58E+00
5.67E+00,-1.81E-01,-3.96E+00,3.97E+00
5.70E+00,-3.24E-01,-4.81E+00,4.81E+00
5.73E+00,-4.99E-01,-5.03E+00,5.03E+00
5.77E+00,-6.61E-01,-5.13E+00,5.13E+00
5.80E+00,-8.42E-01,-6.28E+00,6.28E+00
5.83E+00,-1.08E+00,-7.16E+00,7.16E+00
5.87E+00,-1.32E+00,-3.87E+00,3.87E+00
5.90E+00,-1.33E+00,3.24E+00,3.25E+00
5.93E+00,-1.11E+00,5.90E+00,5.91E+00
5.97E+00,-9.40E-01,4.74E+00,4.75E+00
6.00E+00,-7.90E-01,4.12E+00,4.12E+00
6.03E+00,-6.67E-01,3.67E+00,3.67E+00
6.07E+00,-5.44E-01,3.38E+00,3.40E+00
6.10E+00,-4.41E-01,2.75E+00,2.76E+00
6.13E+00,-3.63E-01,2.32E+00,2.32E+00
6.17E+00,-2.85E-01,2.13E+00,2.13E+00
6.20E+00,-2.20E-01,1.57E+00,1.58E+00
6.23E+00,-1.81E-01,1.06E+00,1.08E+00
6.27E+00,-1.49E-01,5.80E-01,6.12E-01
6.30E+00,-1.43E-01,9.82E-02,4.05E-01
6.33E+00,-1.43E-01,-1.93E-01,3.49E-01
6.37E+00,-1.56E-01,-4.84E-01,5.21E-01
6.40E+00,-1.75E-01,-7.85E-01,7.91E-01
6.43E+00,-2.07E-01,-1.35E+00,1.35E+00
6.47E+00,-2.66E-01,-1.93E+00,1.94E+00
6.50E+00,-3.37E-01,-2.45E+00,2.49E+00
6.53E+00,-4.28E-01,-2.71E+00,2.71E+00
6.57E+00,-5.18E-01,-3.09E+00,3.09E+00
6.60E+00,-6.35E-01,-3.73E+00,3.74E+00
6.63E+00,-7.65E-01,-4.06E+00,4.07E+00
6.67E+00,-9.07E-01,-4.74E+00,4.75E+00
6.70E+00,-1.08E+00,-5.50E+00,5.52E+00
6.73E+00,-1.27E+00,-5.22E+00,5.23E+00
6.77E+00,-1.43E+00,2.90E-01,3.49E-01
6.80E+00,-1.25E+00,4.81E+00,4.81E+00
6.83E+00,-1.11E+00,4.26E+00,4.26E+00
6.87E+00,-9.65E-01,4.06E+00,4.06E+00
6.90E+00,-8.42E-01,3.34E+00,3.34E+00
6.93E+00,-7.45E-01,2.51E+00,2.54E+00
6.97E+00,-6.74E-01,1.93E+00,1.94E+00
7.00E+00,-6.16E-01,1.77E+00,1.78E+00
7.03E+00,-5.57E-01,8.70E-01,8.70E-01
7.07E+00,-5.57E-01,4.84E-01,4.93E-01
7.10E+00,-5.25E-01,2.95E-01,3.54E-01
7.13E+00,-5.38E-01,-3.87E-01,3.99E-01
7.17E+00,-5.51E-01,-3.87E-01,3.87E-01
7.20E+00,-5.64E-01,-6.87E-01,6.94E-01
7.23E+00,-5.96E-01,-1.45E+00,1.45E+00
7.27E+00,-6.61E-01,-1.93E+00,1.93E+00
7.30E+00,-7.26E-01,-2.55E+00,2.56E+00
7.33E+00,-8.29E-01,-2.71E+00,2.72E+00
7.37E+00,-9.07E-01,-3.29E+00,3.29E+00
7.40E+00,-1.05E+00,-4.22E+00,4.24E+00
7.43E+00,-1.19E+00,-4.55E+00,4.57E+00
7.47E+00,-1.35E+00,-3.48E+00,3.49E+00
7.50E+00,-1.42E+00,7.85E-01,7.91E-01
7.53E+00,-1.30E+00,3.67E+00,3.68E+00
7.57E+00,-1.17E+00,3.38E+00,3.39E+00
7.60E+00,-1.08E+00,2.65E+00,2.65E+00
7.63E+00,-9.98E-01,2.13E+00,2.14E+00
7.67E+00,-9.33E-01,1.74E+00,1.76E+00
7.70E+00,-8.81E-01,1.57E+00,1.58E+00
7.73E+00,-8.29E-01,1.16E+00,1.16E+00
7.77E+00,-8.03E-01,5.80E-01,6.12E-01
7.80E+00,-7.90E-01,-2.95E-01,4.91E-01
7.83E+00,-8.23E-01,-8.70E-01,8.92E-01
7.87E+00,-8.49E-01,-5.80E-01,5.80E-01
7.90E+00,-8.62E-01,-9.82E-01,9.82E-01
7.93E+00,-9.14E-01,-2.22E+00,2.23E+00
7.97E+00,-1.01E+00,-2.32E+00,2.33E+00
8.00E+00,-1.07E+00,-2.65E+00,2.68E+00
8.03E+00,-1.19E+00,-4.35E+00,4.39E+00
8.07E+00,-1.36E+00,-4.74E+00,4.77E+00
8.10E+00,-1.50E+00,-9.82E-01,1.06E+00
8.13E+00,-1.43E+00,2.90E+00,2.90E+00
8.17E+00,-1.31E+00,3.19E+00,3.19E+00
8.20E+00,-1.21E+00,2.55E+00,2.56E+00
8.23E+00,-1.14E+00,2.03E+00,2.05E+00
8.27E+00,-1.08E+00,1.64E+00,1.65E+00
8.30E+00,-1.03E+00,1.37E+00,1.38E+00
8.33E+00,-9.85E-01,8.70E-01,9.17E-01
8.37E+00,-9.72E-01,-1.93E-01,5.21E-01
8.40E+00,-9.98E-01,非數值,非數值
